year,quarter,petrol,greendiesel,hybrid_petrol,electric
2017,Q1,130462,11323,1845,9
2017,Q2,132040,11615,1621,13
2017,Q3,127712,11177,2175,2
2017,Q4,132674,13448,3502,1
2018,Q1,124378,11774,2519,4
2018,Q2,143169,12124,2594,2
2018,Q3,152348,17695,2336,2
2018,Q4,128473,11257,294,2
2019,Q1,132618,10661,1164,5
2019,Q2,143735,10535,1537,0
2019,Q3,138563,10643,1510,30
2019,Q4,148904,11271,1751,9
2020,Q1,104707,8393,803,13
2020,Q2,65632,5116,375,4
2020,Q3,165833,12024,420,13
2020,Q4,176496,12154,329,41
2021,Q1,133292,11788,636,44
2021,Q2,103939,7824,706,57
2021,Q3,65049,7977,460,111
2021,Q4,181283,15915,928,45
2022,Q1,146348,15609,1954,168
2022,Q2,160445,15522,3464,537
2022,Q3,170368,16376,4401,829
2022,Q4,185175,16409,5549,1595
2023,Q1,175076,17525,5428,1772
2023,Q2,159630,15589,4193,2637
2023,Q3,190020,15834,4787,2979
2023,Q4,205909,17245,7802,5913
2024,Q1,186967,14340,6192,4689
2024,Q2,174267,12865,5530,5974
2024,Q3,190533,12741,5729,5171
2024,Q4,202793,15470,7072,5955
2025,Q1,174541,9877,7130,6827
